160414_29_Snip_TankSortChirag.csv
,f0,N=1000,,,,
,FSL,FSL-low,FSL-high,StdDev,,
0.0,49.35407639000005,49.35407639,49.3540763900001,4.976287916626216E-14,,
1.0,58.29882622000101,58.29882622,58.29882622000202,1.0094755488013183E-12,,
5.0,58.8505268099995,58.850526809999,58.85052681,4.976287916626216E-13,,
10.0,64.80121612999947,64.80121612999895,64.80121613,5.260647226147715E-13,,
15.0,64.66908073731928,64.32288522850324,65.01527624613531,0.3461955088160427,,
20.0,65.45568477367166,63.88914426203205,67.02222528531128,1.5665405116396183,,
25.0,65.98383731259965,63.06152452224451,68.90615010295478,2.9223127903551345,,
30.0,65.4911313290425,62.406971528047066,68.57529113003794,3.0841598009954336,,
35.0,64.05926485374574,59.23367748869464,68.88485221879685,4.8255873650511045,,
40.0,60.247834679065136,55.3818563797157,65.11381297841457,4.865978299349434,,
45.0,56.600013920902896,50.94265389506834,62.25737394673745,5.657360025834559,,
50.0,52.34338074115659,45.73065172555007,58.956109756763105,6.612729015606521,,
55.0,48.69668854673663,41.109680511242786,56.283696582230476,7.587008035493846,,
60.0,44.859711626060374,36.432174591486,53.287248660634745,8.42753703457437,,
65.0,40.693357494277706,31.32330329225956,50.06341169629585,9.370054202018146,,
70.0,36.58205645879637,26.694456130635505,46.469656786957245,9.887600328160868,,
75.0,33.15458478052125,23.52410735650352,42.785062204538974,9.630477424017728,,
80.0,30.276389591837784,21.009903986329157,39.54287519734641,9.266485605508626,,
85.0,27.752439868641957,18.69187017758794,36.81300955969597,9.060569691054017,,
90.0,25.464686660442407,16.96197507601768,33.967398244867134,8.502711584424727,,
95.0,23.40414995701934,14.56355633895743,32.244743575081245,8.84059361806191,,
100.0,22.393514660166748,14.344045332461715,30.44298398787178,8.049469327705033,,
105.0,20.296780150270454,12.225077260111187,28.368483040429723,8.071702890159267,,
110.0,19.269854551495126,11.723969536621727,26.815739566368524,7.5458850148734,,
115.0,18.005207943249484,10.605518372329573,25.404897514169395,7.399689570919912,,
120.0,16.955724667202677,9.708625818223211,24.202823516182143,7.247098848979465,,
125.0,16.628961617631038,9.650653852856161,23.607269382405917,6.978307764774877,,
130.0,15.440118279240348,8.753246095874303,22.126990462606393,6.686872183366044,,
135.0,14.764629040371315,8.211706141302212,21.317551939440417,6.552922899069102,,
140.0,14.158601716107187,7.601985148281845,20.71521828393253,6.556616567825342,,
145.0,13.286141780342202,6.9644031217022615,19.607880438982143,6.321738658639941,,
150.0,13.020806268939848,6.807815965817984,19.233796572061713,6.212990303121864,,
