070314_23_Snip_TankSortChirag.csv
,f0,N=1000,,,,
,FSL,FSL-low,FSL-high,StdDev,,
0.0,18.69034767000023,18.690347669999998,18.69034767000046,2.3104193898621723E-13,,
1.0,19.343376160000187,19.34337616,19.343376160000375,1.8838804255799247E-13,,
5.0,19.578695300000017,19.5786953,19.578695300000035,1.777245684509363E-14,,
10.0,19.647836689999842,19.647836689999686,19.64783669,1.5639762023682394E-13,,
15.0,19.641043190809853,19.620216278896976,19.66187010272273,0.02082691191287637,,
20.0,19.673181537079884,19.577208470128348,19.76915460403142,0.09597306695153719,,
25.0,19.64536691017994,19.49004745373501,19.800686366624873,0.15531945644493247,,
30.0,19.561343911589912,19.416492336078043,19.70619548710178,0.14485157551186753,,
35.0,19.71621561305992,19.52038272887865,19.912048497241187,0.19583288418126918,,
40.0,19.59642172147994,19.385148870488525,19.807694572471352,0.211272850991415,,
45.0,19.476686957170013,19.2417496548602,19.711624259479827,0.23493730230981383,,
50.0,19.43385100571005,19.014787404206235,19.852914607213865,0.41906360150381644,,
55.0,19.55785497312163,19.014151613960777,20.10155833228248,0.5437033591608519,,
60.0,19.3725871638652,18.666846175805397,20.078328151925007,0.7057409880598037,,
65.0,19.192404407648915,18.22749543627397,20.15731337902386,0.9649089713749479,,
70.0,18.947562582621174,17.497405211440693,20.397719953801655,1.45015737118048,,
75.0,18.73198382536023,16.907230085456785,20.556737565263678,1.824753739903445,,
80.0,18.475431025101585,16.253171805845653,20.697690244357517,2.222259219255933,,
85.0,18.040790902006915,15.214985139196404,20.866596664817425,2.8258057628105098,,
90.0,17.82631404185742,14.761758886311869,20.890869197402967,3.0645551555455497,,
95.0,17.321725883466616,13.828083119819798,20.815368647113434,3.4936427636468186,,
100.0,17.1351643440192,13.470743369788394,20.799585318250003,3.6644209742308034,,
105.0,16.512177875112986,12.475672600786059,20.548683149439913,4.036505274326927,,
110.0,15.838266599436084,11.299070378866144,20.377462820006023,4.539196220569939,,
115.0,15.594165139741321,10.864551762155795,20.323778517326847,4.729613377585525,,
120.0,15.115689560156833,10.441527497074599,19.789851623239066,4.6741620630822345,,
125.0,14.54339279452824,9.564967493502404,19.521818095554075,4.978425301025836,,
130.0,14.158167770983535,9.047636473936986,19.268699068030084,5.11053129704655,,
135.0,13.479024378620286,8.324753649513495,18.63329510772708,5.154270729106791,,
140.0,12.728759294601868,7.419649258649889,18.037869330553846,5.30911003595198,,
145.0,13.080514054197039,7.937540897543367,18.22348721085071,5.142973156653672,,
150.0,12.450593107892823,7.075394534350282,17.825791681435362,5.375198573542541,,
