070314_73_Snip_TankSortChirag.csv,,,,
,f0,N=1000,,
,FSL,FSL-low,FSL-high,StdDev
0,16.89720154,16.89720154,16.89720154,1.56E-13
1,17.37213135,17.37213135,17.37213135,4.62E-13
5,17.58718491,17.58718491,17.58718491,2.56E-13
10,17.58718491,17.58718491,17.58718491,2.56E-13
15,17.60997462,17.60080723,17.61914201,0.009167386
20,17.58078408,17.54358157,17.61798659,0.037202511
25,17.57463884,17.52603643,17.62324126,0.048602416
30,17.56731606,17.50536184,17.62927027,0.061954215
35,17.6249218,17.54060359,17.70924001,0.084318213
40,17.57306528,17.47674735,17.66938321,0.096317929
45,17.52590537,17.39468091,17.65712983,0.131224456
50,17.453578,17.26686499,17.640291,0.186713004
55,17.35866971,17.0801048,17.63723463,0.278564918
60,17.4805791,17.12380926,17.83734894,0.356769839
65,17.37079593,16.689219,18.05237286,0.681576929
70,17.21803358,16.38415214,18.05191501,0.833881438
75,16.90224312,15.40524602,18.39924022,1.496997097
80,16.79125437,14.93710654,18.64540221,1.854147836
85,16.48895766,14.30640398,18.67151134,2.182553679
90,16.19488993,13.63994784,18.74983202,2.554942091
95,16.0455367,13.32366807,18.76740534,2.721868634
100,15.5829117,12.3789944,18.786829,3.2039173
105,15.34710894,11.91203964,18.78217825,3.435069308
110,15.05414759,11.49117329,18.61712189,3.562974302
115,14.38407989,10.44352572,18.32463405,3.940554166
120,14.01411252,9.750220392,18.27800465,4.26389213
125,13.84588605,9.559514775,18.13225731,4.28637127
130,13.3136446,8.758797878,17.86849132,4.554846723
135,13.08664449,8.562047616,17.61124136,4.524596871
140,12.67799767,7.882679699,17.47331564,4.795317971
145,12.34050902,7.555893286,17.12512476,4.784615737
150,11.89493432,7.023776286,16.76609236,4.871158038
