070314_230_Snip_TankSortChirag.csv
,f0,N=1000,,,,
,FSL,FSL-low,FSL-high,StdDev,,
0.0,23.025989530000267,23.02598953,23.025989530000533,2.6658685267640444E-13,,
1.0,23.896217350000292,23.896217349999997,23.896217350000587,2.9502278362855425E-13,,
5.0,24.33156967000011,24.33156967,24.33156967000022,1.101892324395805E-13,,
10.0,24.39928054999957,24.39928054999914,24.39928055,4.3009345565126585E-13,,
15.0,24.389080287459624,24.36372436307126,24.41443621184799,0.025355924388365664,,
20.0,24.426629304309884,24.280060832813476,24.573197775806292,0.1465684714964081,,
25.0,24.685199974539813,24.419476750345165,24.95092319873446,0.2657232241946475,,
30.0,24.54419612727982,24.323817770592328,24.764574483967316,0.22037835668749434,,
35.0,24.34229946043982,24.04183346741689,24.642765453462747,0.30046599302292915,,
40.0,24.21047759038996,23.689703414464805,24.731251766315115,0.5207741759251548,,
45.0,24.39179705327411,23.86798495666202,24.9156091498862,0.5238120966120907,,
50.0,24.12751884063047,23.37706962257307,24.877968058687866,0.7504492180573971,,
55.0,23.94715379389421,22.97282224856342,24.921485339224997,0.9743315453307881,,
60.0,23.787898791956682,22.406070043504926,25.169727540408438,1.3818287484517564,,
65.0,23.40454004814065,21.315131999450603,25.493948096830696,2.0894080486900477,,
70.0,22.909525136651034,20.285563592582307,25.53348668071976,2.6239615440687265,,
75.0,22.634255416536337,19.476572623545852,25.791938209526823,3.1576827929904847,,
80.0,22.086447890513817,18.46484539933785,25.708050381689784,3.621602491175966,,
85.0,21.00934242197697,16.533943035756067,25.484741808197874,4.475399386220902,,
90.0,20.725087828426645,16.02309194696341,25.427083709889878,4.701995881463234,,
95.0,20.286805812718953,15.282114344658021,25.291497280779886,5.004691468060932,,
100.0,19.43246701060577,13.962156435371138,24.9027775858404,5.470310575234631,,
105.0,19.039349772336596,13.371633678000688,24.707065866672504,5.6677160943359075,,
110.0,18.04309993447121,12.066771684205719,24.019428184736704,5.9763282502654915,,
115.0,17.4207888773137,11.3306395017473,23.510938252880102,6.090149375566401,,
120.0,16.545841556800674,10.486535100652446,22.605148012948902,6.059306456148227,,
125.0,16.12171855335852,9.981103983696912,22.262333123020127,6.140614569661607,,
130.0,15.233583960059423,9.063992399571152,21.403175520547695,6.169591560488272,,
135.0,14.625104738888986,8.505041424866704,20.745168052911268,6.120063314022281,,
140.0,14.071004999849679,7.926180675581629,20.215829324117728,6.14482432426805,,
145.0,13.402816893798155,7.31610331353974,19.489530474056572,6.086713580258415,,
150.0,13.062093513201344,7.195930422987548,18.92825660341514,5.866163090213796,,
