170414_185_Snip_TankSortChirag.csv
,f1,N=1000,,,,
,FSL,FSL-low,FSL-high,StdDev,,
0.0,21.259546280000414,21.25954628,21.25954628000083,4.1587549017519097E-13,,
1.0,22.332191469999422,22.332191469998847,22.332191469999998,5.758276017810337E-13,,
5.0,22.636890410000483,22.63689041,22.636890410000966,4.834108261865467E-13,,
10.0,22.90177345000016,22.90177345,22.90177345000032,1.5995211160584267E-13,,
15.0,22.865646836640195,22.773595406733328,22.957698266547062,0.09205142990686756,,
20.0,22.801422117710192,22.641709246722563,22.96113498869782,0.15971287098762824,,
25.0,22.737105369020117,22.53547822394401,22.938732514096223,0.2016271450761046,,
30.0,22.986868381110114,22.608088239037176,23.36564852318305,0.3787801420729384,,
35.0,22.757072925500093,22.38935490880422,23.12479094219597,0.36771801669587506,,
40.0,22.48274612476998,22.057386547387594,22.90810570215237,0.42535957738238717,,
45.0,22.687085972247484,21.85973557042167,23.5144363740733,0.8273504018258151,,
50.0,22.56821392188815,21.93597084101951,23.200457002756792,0.6322430808686399,,
55.0,22.247074461530303,21.359069296942028,23.13507962611858,0.8880051645882756,,
60.0,22.062620530815227,20.77959548302777,23.345645578602685,1.283025047787456,,
65.0,21.843767905593364,20.248750002296983,23.438785808889744,1.595017903296381,,
70.0,21.60120844598428,19.564447113761158,23.637969778207403,2.0367613322231217,,
75.0,21.21741918579968,18.55708296665883,23.877755404940533,2.6603362191408526,,
80.0,20.837881272396956,17.659699089037183,24.01606345575673,3.1781821833597736,,
85.0,20.394922385151983,16.758914277264964,24.030930493039,3.636008107887018,,
90.0,19.84059122454051,15.725012122919743,23.956170326161278,4.115579101620767,,
95.0,18.91545568815619,14.112810754025443,23.718100622286936,4.802644934130748,,
100.0,18.493211241490123,13.588051759393313,23.398370723586932,4.905159482096809,,
105.0,18.120131362940164,12.869670040131929,23.3705926857484,5.250461322808236,,
110.0,17.250969505552696,11.7802436825487,22.72169532855669,5.470725823003995,,
115.0,16.621875830115552,10.990177197602415,22.25357446262869,5.631698632513137,,
120.0,16.19399683946237,10.492610465257453,21.895383213667284,5.701386374204916,,
125.0,15.432800267376097,9.592085808492028,21.273514726260167,5.840714458884069,,
130.0,14.71471554245321,8.862514332699401,20.566916752207018,5.852201209753807,,
135.0,14.191507866698128,8.310148780891385,20.07286695250487,5.881359085806744,,
140.0,13.96065231636959,8.171464222770553,19.749840409968627,5.789188093599038,,
145.0,13.20457391724642,7.4651173849220624,18.944030449570775,5.739456532324357,,
150.0,12.87517396984377,7.063210108488699,18.68713783119884,5.811963861355071,,
